year,player,pos,age,team,games_played,games_started,mp,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,link,rank,w_lpercent,gb,pw,pl,ps_g,pa_g,game,date,away_game,opponent,game_outcome,overtime,tm_score,opp_score,cumulative_wins,cumulative_losses,streak,diff,avg_diff,cumulative_away
2014,Giannis Antetokounmpo,SF,19,MIL,77,23,1897,3.3,7.9,0.414,0.8,2.2,0.347,2.5,5.7,0.44,2.6,3.8,0.683,1.5,5,6.4,2.8,1.1,1.2,2.3,3.3,10,/players/a/antetgi01.html,18,0.183,41.0,20,20,95.5,103.7,1,2013-10-30T00:00:00Z,1,New York Knicks,L,,83,90,0,1,L 1,-7,-7,1
2014,Giannis Antetokounmpo,SF,19,MIL,77,23,1897,3.3,7.9,0.414,0.8,2.2,0.347,2.5,5.7,0.44,2.6,3.8,0.683,1.5,5,6.4,2.8,1.1,1.2,2.3,3.3,10,/players/a/antetgi01.html,18,0.183,41.0,20,20,95.5,103.7,2,2013-11-01T00:00:00Z,1,Boston Celtics,W,,105,98,1,1,W 1,7,0,2
2014,Giannis Antetokounmpo,SF,19,MIL,77,23,1897,3.3,7.9,0.414,0.8,2.2,0.347,2.5,5.7,0.44,2.6,3.8,0.683,1.5,5,6.4,2.8,1.1,1.2,2.3,3.3,10,/players/a/antetgi01.html,18,0.183,41.0,20,20,95.5,103.7,3,2013-11-02T00:00:00Z,0,Toronto Raptors,L,,90,97,1,2,L 1,-7,-2.3333333333333335,2
2014,Giannis Antetokounmpo,SF,19,MIL,77,23,1897,3.3,7.9,0.414,0.8,2.2,0.347,2.5,5.7,0.44,2.6,3.8,0.683,1.5,5,6.4,2.8,1.1,1.2,2.3,3.3,10,/players/a/antetgi01.html,18,0.183,41.0,20,20,95.5,103.7,4,2013-11-06T00:00:00Z,0,Cleveland Cavaliers,W,,109,104,2,2,W 1,5,-0.5,2
2014,Giannis Antetokounmpo,SF,19,MIL,77,23,1897,3.3,7.9,0.414,0.8,2.2,0.347,2.5,5.7,0.44,2.6,3.8,0.683,1.5,5,6.4,2.8,1.1,1.2,2.3,3.3,10,/players/a/antetgi01.html,18,0.183,41.0,20,20,95.5,103.7,5,2013-11-09T00:00:00Z,0,Dallas Mavericks,L,,83,91,2,3,L 1,-8,-2,2
2014,Giannis Antetokounmpo,SF,19,MIL,77,23,1897,3.3,7.9,0.414,0.8,2.2,0.347,2.5,5.7,0.44,2.6,3.8,0.683,1.5,5,6.4,2.8,1.1,1.2,2.3,3.3,10,/players/a/antetgi01.html,18,0.183,41.0,20,20,95.5,103.7,6,2013-11-12T00:00:00Z,1,Miami Heat,L,,95,118,2,4,L 2,-23,-5.5,3
2014,Giannis Antetokounmpo,SF,19,MIL,77,23,1897,3.3,7.9,0.414,0.8,2.2,0.347,2.5,5.7,0.44,2.6,3.8,0.683,1.5,5,6.4,2.8,1.1,1.2,2.3,3.3,10,/players/a/antetgi01.html,18,0.183,41.0,20,20,95.5,103.7,7,2013-11-13T00:00:00Z,1,Orlando Magic,L,,91,94,2,5,L 3,-3,-5.142857142857143,4
2014,Giannis Antetokounmpo,SF,19,MIL,77,23,1897,3.3,7.9,0.414,0.8,2.2,0.347,2.5,5.7,0.44,2.6,3.8,0.683,1.5,5,6.4,2.8,1.1,1.2,2.3,3.3,10,/players/a/antetgi01.html,18,0.183,41.0,20,20,95.5,103.7,8,2013-11-15T00:00:00Z,1,Indiana Pacers,L,,77,104,2,6,L 4,-27,-7.875,5
2014,Giannis Antetokounmpo,SF,19,MIL,77,23,1897,3.3,7.9,0.414,0.8,2.2,0.347,2.5,5.7,0.44,2.6,3.8,0.683,1.5,5,6.4,2.8,1.1,1.2,2.3,3.3,10,/players/a/antetgi01.html,18,0.183,41.0,20,20,95.5,103.7,9,2013-11-16T00:00:00Z,0,Oklahoma City Thunder,L,,79,92,2,7,L 5,-13,-8.444444444444445,5
2014,Giannis Antetokounmpo,SF,19,MIL,77,23,1897,3.3,7.9,0.414,0.8,2.2,0.347,2.5,5.7,0.44,2.6,3.8,0.683,1.5,5,6.4,2.8,1.1,1.2,2.3,3.3,10,/players/a/antetgi01.html,18,0.183,41.0,20,20,95.5,103.7,10,2013-11-20T00:00:00Z,0,Portland Trail Blazers,L,,82,91,2,8,L 6,-9,-8.5,5
